web-scraper-order,web-scraper-start-url,category,category-href,name,price_in_dollar,calories
"1608225504-477","https://www.tacobell.com/food","Value Menu","https://www.tacobell.com/food/cravings-value-menu","Cinnamon Twists","1.00","170"
"1608225443-440","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Cheesy Toasted Breakfast Burrito Potato","1.29","340"
"1608225532-514","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Hot Sauce Packet","0.00","0"
"1608225597-552","https://www.tacobell.com/food","Burritos","https://www.tacobell.com/food/burritos","Crunchwrap Supreme®","3.69","530"
"1608225600-555","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Crunchy Taco","1.29","170"
"1608225529-502","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Brisk® Mango Fiesta","1.99","100-180"
"1608225604-579","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","Hash Brown Toasted Breakfast Burrito Combo","4.19","1010"
"1608225604-578","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","Breakfast Crunchwrap Combo","4.99","1110"
"1608225529-496","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Mountain Dew Baja Blast®","1.99","220-420"
"1608225443-450","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Cinnabon Delights® 2 Pack","1.29","160"
"1608225529-505","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Regular Iced Coffee","1.49","10"
"1608225504-475","https://www.tacobell.com/food","Value Menu","https://www.tacobell.com/food/cravings-value-menu","Cheesy Roll Up","1.00","180"
"1608225443-453","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Breakfast Salsa","0.00","0"
"1608225552-520","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Black Bean Crunchwrap Supreme®","3.69","510"
"1608225508-486","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Supreme Variety Taco Party Pack","17.99","190"
"1608225443-445","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Grande Toasted Breakfast Burrito","2.79","560"
"1608225529-504","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Premium Hot Coffee","1.49","10"
"1608225552-527","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Cheesy Roll Up","1.00","180"
"1608225508-481","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Taco Party Pack","13.99","170"
"1608225604-568","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","3 Doritos® Locos Tacos Combo","6.99","930"
"1608225597-551","https://www.tacobell.com/food","Burritos","https://www.tacobell.com/food/burritos","Burrito Supreme®","3.49","390"
"1608225593-543","https://www.tacobell.com/food","Nachos","https://www.tacobell.com/food/nachos","Nachos Party Pack","9.99","2050"
"1608225484-466","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Chips and Nacho Cheese Sauce","1.00","220"
